(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(6)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1429)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1431)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1433)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1436)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1437)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1438)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1443)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1446)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1450)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1451)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1452)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1453)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1454)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1455)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1456)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1457)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1460)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1461)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1465)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1466)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1467)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1468)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1471)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1472)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1477)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1480)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1485)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1490)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1491)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1492)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1493)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1494)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1495)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1496)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1500)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1501)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1503)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1506)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1507)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1508)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1514)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1515)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1526)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1528)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1531)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1532)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1533)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1537)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1539)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1540)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1541)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1543)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1545)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1547)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1553)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1554)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1555)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(1557)), {C=0.0007851934941110487, S=0.0006808676198813345}
